H Mass Fractions
H 1 Msun, Z=0.0060 star
 & specie    & Surf Abu  & \\ 
 & Neutron-1 & 2.721E-28 & \\ 
 & Zn-71     & 9.298E-26 & \\ 
 & Zn-72     & 4.372E-15 & \\ 
 & Zn-73     & 4.076E-32 & \\ 
 & Zn-74     & 1.495E-37 & \\ 
 & Ga-65     & 5.571E-39 & \\ 
 & Ga-66     & 3.735E-33 & \\ 
 & Ga-67     & 6.706E-26 & \\ 
 & Ga-68     & 2.046E-34 & \\ 
 & Ga-69     & 1.509E-07 & \\ 
 & Ga-70     & 1.551E-23 & \\ 
 & Ga-71     & 7.737E-08 & \\ 
 & Ga-72     & 2.112E-15 & \\ 
 & Ga-73     & 3.627E-18 & \\ 
 & Ga-74     & 1.354E-26 & \\ 
 & Ga-75     & 1.331E-32 & \\ 
 & Ge-66     & 1.000E-99 & \\ 
 & Ge-67     & 1.000E-99 & \\ 
 & Ge-68     & 1.000E-99 & \\ 
 & Ge-69     & 1.000E-99 & \\ 
 & Ge-70     & 1.832E-07 & \\ 
 & Ge-71     & 3.926E-10 & \\ 
 & Ge-72     & 1.779E-07 & \\ 
 & Ge-73     & 5.702E-08 & \\ 
 & Ge-74     & 2.816E-07 & \\ 
 & Ge-75     & 1.041E-20 & \\ 
 & Ge-76     & 5.660E-08 & \\ 
 & Ge-77     & 1.290E-16 & \\ 
 & Ge-78     & 5.613E-21 & \\ 
 & As-69     & 1.000E-99 & \\ 
 & As-70     & 1.000E-99 & \\ 
 & As-71     & 3.101E-28 & \\ 
 & As-72     & 6.149E-30 & \\ 
 & As-73     & 9.258E-24 & \\ 
 & As-74     & 1.495E-23 & \\ 
 & As-75     & 3.238E-08 & \\ 
 & As-76     & 4.425E-16 & \\ 
 & As-77     & 5.609E-14 & \\ 
 & As-78     & 3.068E-20 & \\ 
 & As-79     & 2.039E-26 & \\ 
 & As-80     & 6.429E-42 & \\ 
 & As-81     & 4.530E-42 & \\ 
 & Se-72     & 1.000E-99 & \\ 
 & Se-73     & 1.000E-99 & \\ 
 & Se-74     & 1.929E-12 & \\ 
 & Se-75     & 1.507E-14 & \\ 
 & Se-76     & 5.489E-08 & \\ 
 & Se-77     & 3.261E-08 & \\ 
 & Se-78     & 1.273E-07 & \\ 
 & Se-79     & 2.743E-08 & \\ 
 & Se-80     & 1.293E-07 & \\ 
 & Se-81     & 5.472E-24 & \\ 
 & Se-82     & 1.618E-08 & \\ 
 & Se-83     & 1.060E-24 & \\ 
 & Se-84     & 1.050E-31 & \\ 
 & Br-74     & 1.000E-99 & \\ 
 & Br-75     & 1.000E-99 & \\ 
 & Br-76     & 1.000E-99 & \\ 
 & Br-77     & 1.000E-29 & \\ 
 & Br-78     & 6.162E-27 & \\ 
 & Br-79     & 3.634E-11 & \\ 
 & Br-80     & 9.888E-27 & \\ 
 & Br-81     & 2.296E-08 & \\ 
 & Br-82     & 1.367E-14 & \\ 
 & Br-83     & 5.395E-20 & \\ 
 & Br-84     & 1.363E-23 & \\ 
 & Br-85     & 4.630E-31 & \\ 
 & Br-86     & 8.153E-39 & \\ 
 & Br-87     & 1.298E-40 & \\ 
 & Kr-76     & 1.000E-99 & \\ 
 & Kr-77     & 1.000E-99 & \\ 
 & Kr-78     & 6.260E-13 & \\ 
 & Kr-79     & 5.337E-21 & \\ 
 & Kr-80     & 2.437E-11 & \\ 
 & Kr-81     & 9.818E-12 & \\ 
 & Kr-82     & 3.120E-08 & \\ 
 & Kr-83     & 1.831E-08 & \\ 
 & Kr-84     & 9.149E-08 & \\ 
 & Kr-85     & 2.610E-08 & \\ 
 & Kr-86     & 1.030E-07 & \\ 
 & Kr-87     & 7.256E-22 & \\ 
 & Kr-88     & 1.023E-20 & \\ 
 & Kr-89     & 1.950E-32 & \\ 
 & Kr-90     & 6.696E-51 & \\ 
 & Rb-79     & 1.000E-99 & \\ 
 & Rb-80     & 1.000E-99 & \\ 
 & Rb-81     & 1.000E-99 & \\ 
 & Rb-82     & 1.000E-99 & \\ 
 & Rb-83     & 7.268E-27 & \\ 
 & Rb-84     & 1.917E-26 & \\ 
 & Rb-85     & 8.810E-09 & \\ 
 & Rb-86     & 1.112E-10 & \\ 
 & Rb-87     & 4.583E-08 & \\ 
 & Rb-88     & 1.194E-21 & \\ 
 & Rb-89     & 5.464E-26 & \\ 
 & Rb-90     & 1.411E-30 & \\ 
 & Rb-91     & 1.070E-38 & \\ 
 & Sr-80     & 1.000E-99 & \\ 
