H Mass Fractions
H 1 Msun, Z=0.0100 star
 & specie    & Surf Abu  & \\ 
 & Neutron-1 & 0.000E+00 & \\ 
 & Rb-82     & 0.000E+00 & \\ 
 & Rb-83     & 0.000E+00 & \\ 
 & Rb-84     & 1.131E-28 & \\ 
 & Rb-85     & 6.445E-09 & \\ 
 & Rb-86     & 0.000E+00 & \\ 
 & Rb-87     & 2.516E-09 & \\ 
 & Rb-88     & 0.000E+00 & \\ 
 & Rb-89     & 0.000E+00 & \\ 
 & Rb-90     & 0.000E+00 & \\ 
 & Rb-91     & 0.000E+00 & \\ 
 & Sr-80     & 0.000E+00 & \\ 
 & Sr-81     & 0.000E+00 & \\ 
 & Sr-82     & 0.000E+00 & \\ 
 & Sr-83     & 0.000E+00 & \\ 
 & Sr-84     & 1.599E-10 & \\ 
 & Sr-85     & 0.000E+00 & \\ 
 & Sr-86     & 3.052E-09 & \\ 
 & Sr-87     & 2.322E-09 & \\ 
 & Sr-88     & 2.562E-08 & \\ 
 & Sr-89     & 0.000E+00 & \\ 
 & Sr-90     & 1.134E-15 & \\ 
 & Sr-91     & 0.000E+00 & \\ 
 & Sr-92     & 0.000E+00 & \\ 
 & Sr-93     & 0.000E+00 & \\ 
 & Sr-94     & 0.000E+00 & \\ 
 & Y-85      & 0.000E+00 & \\ 
 & Y-86      & 0.000E+00 & \\ 
 & Y-87      & 0.000E+00 & \\ 
 & Y-88      & 0.000E+00 & \\ 
 & Y-89      & 6.279E-09 & \\ 
 & Y-90      & 2.886E-19 & \\ 
 & Y-91      & 0.000E+00 & \\ 
 & Y-92      & 0.000E+00 & \\ 
 & Y-93      & 0.000E+00 & \\ 
 & Y-94      & 0.000E+00 & \\ 
 & Y-95      & 0.000E+00 & \\ 
 & Y-96      & 0.000E+00 & \\ 
 & Zr-86     & 0.000E+00 & \\ 
 & Zr-87     & 0.000E+00 & \\ 
 & Zr-88     & 0.000E+00 & \\ 
 & Zr-89     & 0.000E+00 & \\ 
 & Zr-90     & 7.810E-09 & \\ 
 & Zr-91     & 1.729E-09 & \\ 
 & Zr-92     & 2.685E-09 & \\ 
 & Zr-93     & 2.592E-11 & \\ 
