H Mass Fractions
H 3 Msun, Z=0.0001 star
 & specie    & Surf Abu  & \\ 
 & Neutron-1 & 0.000E+00 & \\ 
 & As-72     & 1.000E-99 & \\ 
 & As-73     & 1.000E-99 & \\ 
 & As-74     & 5.569E-27 & \\ 
 & As-75     & 5.826E-11 & \\ 
 & As-76     & 1.453E-32 & \\ 
 & As-77     & 3.417E-34 & \\ 
 & As-78     & 1.000E-99 & \\ 
 & As-79     & 1.000E-99 & \\ 
 & As-80     & 1.000E-99 & \\ 
 & As-81     & 1.000E-99 & \\ 
 & Se-72     & 1.000E-99 & \\ 
 & Se-73     & 1.000E-99 & \\ 
 & Se-74     & 1.183E-12 & \\ 
 & Se-75     & 9.532E-30 & \\ 
 & Se-76     & 1.122E-10 & \\ 
 & Se-77     & 5.043E-11 & \\ 
 & Se-78     & 3.005E-10 & \\ 
 & Se-79     & 5.177E-11 & \\ 
 & Se-80     & 4.202E-10 & \\ 
 & Se-81     & 8.817E-36 & \\ 
 & Se-82     & 1.984E-11 & \\ 
 & Se-83     & 1.000E-99 & \\ 
 & Se-84     & 1.000E-99 & \\ 
 & Br-74     & 1.000E-99 & \\ 
 & Br-75     & 1.000E-99 & \\ 
 & Br-76     & 1.000E-99 & \\ 
 & Br-77     & 1.000E-99 & \\ 
 & Br-78     & 1.000E-99 & \\ 
 & Br-79     & 1.976E-11 & \\ 
 & Br-80     & 3.349E-36 & \\ 
 & Br-81     & 7.724E-11 & \\ 
 & Br-82     & 1.616E-32 & \\ 
 & Br-83     & 6.762E-38 & \\ 
 & Br-84     & 1.000E-99 & \\ 
 & Br-85     & 1.000E-99 & \\ 
 & Br-86     & 1.000E-99 & \\ 
 & Br-87     & 1.000E-99 & \\ 
 & Kr-76     & 1.000E-99 & \\ 
 & Kr-77     & 1.000E-99 & \\ 
 & Kr-78     & 3.853E-13 & \\ 
 & Kr-79     & 1.000E-99 & \\ 
 & Kr-80     & 6.691E-12 & \\ 
 & Kr-81     & 1.504E-12 & \\ 
 & Kr-82     & 1.700E-10 & \\ 
 & Kr-83     & 7.070E-11 & \\ 
 & Kr-84     & 4.707E-10 & \\ 
 & Kr-85     & 1.848E-12 & \\ 
 & Kr-86     & 9.676E-10 & \\ 
 & Kr-87     & 1.496E-36 & \\ 
