H Mass Fractions
H 1 Msun, Z=0.0200 star
 & specie    & Surf Abu  & \\ 
 & Neutron-1 & 1.000E-99 & \\ 
 & Ag-108    & 1.000E-99 & \\ 
 & Ag-109    & 7.453E-10 & \\ 
 & Ag-110    & 1.000E-99 & \\ 
 & Ag-111    & 1.000E-99 & \\ 
 & Ag-112    & 1.000E-99 & \\ 
 & Ag-113    & 1.000E-99 & \\ 
 & Cd-102    & 1.000E-99 & \\ 
 & Cd-103    & 1.000E-99 & \\ 
 & Cd-104    & 1.000E-99 & \\ 
 & Cd-105    & 1.000E-99 & \\ 
 & Cd-106    & 6.291E-11 & \\ 
 & Cd-107    & 1.000E-99 & \\ 
 & Cd-108    & 4.771E-11 & \\ 
 & Cd-109    & 1.000E-99 & \\ 
 & Cd-110    & 6.813E-10 & \\ 
 & Cd-111    & 6.840E-10 & \\ 
 & Cd-112    & 1.320E-09 & \\ 
 & Cd-113    & 6.661E-10 & \\ 
 & Cd-114    & 1.606E-09 & \\ 
 & Cd-115    & 1.000E-99 & \\ 
 & Cd-116    & 4.148E-10 & \\ 
 & Cd-117    & 1.000E-99 & \\ 
 & Cd-118    & 1.000E-99 & \\ 
 & In-106    & 1.000E-99 & \\ 
 & In-107    & 1.000E-99 & \\ 
 & In-108    & 1.000E-99 & \\ 
 & In-109    & 1.000E-99 & \\ 
 & In-110    & 1.000E-99 & \\ 
 & In-111    & 1.000E-99 & \\ 
 & In-112    & 1.000E-99 & \\ 
 & In-113    & 2.586E-11 & \\ 
 & In-114    & 1.000E-99 & \\ 
 & In-115    & 5.961E-10 & \\ 
 & In-116    & 1.000E-99 & \\ 
 & In-117    & 1.000E-99 & \\ 
 & In-118    & 1.000E-99 & \\ 
 & In-119    & 1.000E-99 & \\ 
 & Sn-108    & 1.000E-99 & \\ 
 & Sn-109    & 1.000E-99 & \\ 
 & Sn-110    & 1.000E-99 & \\ 
 & Sn-111    & 1.000E-99 & \\ 
 & Sn-112    & 1.211E-10 & \\ 
 & Sn-113    & 1.000E-99 & \\ 
 & Sn-114    & 8.414E-11 & \\ 
 & Sn-115    & 4.362E-11 & \\ 
 & Sn-116    & 1.939E-09 & \\ 
 & Sn-117    & 1.019E-09 & \\ 
 & Sn-118    & 3.268E-09 & \\ 
 & Sn-119    & 1.164E-09 & \\ 
 & Sn-120    & 4.479E-09 & \\ 
 & Sn-121    & 1.000E-99 & \\ 
 & Sn-122    & 6.363E-10 & \\ 
 & Sn-123    & 1.000E-99 & \\ 
 & Sn-124    & 8.045E-10 & \\ 
 & Sn-125    & 1.000E-99 & \\ 
 & Sn-126    & 1.918E-16 & \\ 
 & Sn-127    & 1.000E-99 & \\ 
 & Sn-128    & 1.000E-99 & \\ 
 & Sn-129    & 1.000E-99 & \\ 
 & Sn-130    & 1.000E-99 & \\ 
 & Sb-112    & 1.000E-99 & \\ 
 & Sb-113    & 1.000E-99 & \\ 
 & Sb-114    & 1.000E-99 & \\ 
 & Sb-115    & 1.000E-99 & \\ 
 & Sb-116    & 1.000E-99 & \\ 
 & Sb-117    & 1.000E-99 & \\ 
 & Sb-118    & 1.000E-99 & \\ 
 & Sb-119    & 1.000E-99 & \\ 
 & Sb-120    & 1.000E-99 & \\ 
 & Sb-121    & 6.360E-10 & \\ 
 & Sb-122    & 1.000E-99 & \\ 
 & Sb-123    & 4.773E-10 & \\ 
 & Sb-124    & 1.000E-99 & \\ 
 & Sb-125    & 4.473E-30 & \\ 
 & Sb-126    & 7.231E-23 & \\ 
 & Sb-127    & 1.000E-99 & \\ 
 & Sb-128    & 1.000E-99 & \\ 
 & Sb-129    & 1.000E-99 & \\ 
 & Sb-130    & 1.000E-99 & \\ 
 & Sb-131    & 1.000E-99 & \\ 
 & Sb-132    & 1.000E-99 & \\ 
 & Sb-133    & 1.000E-99 & \\ 
 & Te-114    & 1.000E-99 & \\ 
 & Te-115    & 1.000E-99 & \\ 
 & Te-116    & 1.000E-99 & \\ 
 & Te-117    & 1.000E-99 & \\ 
 & Te-118    & 1.000E-99 & \\ 
 & Te-119    & 1.000E-99 & \\ 
 & Te-120    & 1.613E-11 & \\ 
 & Te-121    & 1.000E-99 & \\ 
 & Te-122    & 4.617E-10 & \\ 
 & Te-123    & 1.625E-10 & \\ 
 & Te-124    & 8.707E-10 & \\ 
 & Te-125    & 1.261E-09 & \\ 
 & Te-126    & 3.415E-09 & \\ 
 & Te-127    & 1.000E-99 & \\ 
 & Te-128    & 5.716E-09 & \\ 
 & Te-129    & 1.000E-99 & \\ 
 & Te-130    & 6.199E-09 & \\ 
 & Te-131    & 1.000E-99 & \\ 
 & Te-132    & 1.000E-99 & \\ 
 & Te-133    & 1.000E-99 & \\ 
 & Te-134    & 1.000E-99 & \\ 
 & I-117     & 1.000E-99 & \\ 
 & I-118     & 1.000E-99 & \\ 
 & I-119     & 1.000E-99 & \\ 
 & I-120     & 1.000E-99 & \\ 
 & I-121     & 1.000E-99 & \\ 
 & I-122     & 1.000E-99 & \\ 
 & I-123     & 1.000E-99 & \\ 
 & I-124     & 1.000E-99 & \\ 
 & I-125     & 1.000E-99 & \\ 
 & I-126     & 1.000E-99 & \\ 
 & I-127     & 1.455E-09 & \\ 
 & I-128     & 1.000E-99 & \\ 
 & I-129     & 1.020E-12 & \\ 
 & I-130     & 1.000E-99 & \\ 
 & I-131     & 1.000E-99 & \\ 
 & I-132     & 1.000E-99 & \\ 
 & I-133     & 1.000E-99 & \\ 
 & I-134     & 1.000E-99 & \\ 
 & I-135     & 1.000E-99 & \\ 
 & Xe-118    & 1.000E-99 & \\ 
 & Xe-119    & 1.000E-99 & \\ 
 & Xe-120    & 1.000E-99 & \\ 
 & Xe-121    & 1.000E-99 & \\ 
 & Xe-122    & 1.000E-99 & \\ 
 & Xe-123    & 1.000E-99 & \\ 
 & Xe-124    & 2.189E-11 & \\ 
 & Xe-125    & 1.000E-99 & \\ 
 & Xe-126    & 1.933E-11 & \\ 
 & Xe-127    & 1.000E-99 & \\ 
 & Xe-128    & 4.147E-10 & \\ 
 & Xe-129    & 4.859E-09 & \\ 
 & Xe-130    & 8.485E-10 & \\ 
 & Xe-131    & 3.936E-09 & \\ 
 & Xe-132    & 4.892E-09 & \\ 
 & Xe-133    & 1.000E-99 & \\ 
 & Xe-134    & 1.785E-09 & \\ 
 & Xe-135    & 1.000E-99 & \\ 
 & Xe-136    & 1.478E-09 & \\ 
 & Xe-137    & 1.000E-99 & \\ 
 & Xe-138    & 1.000E-99 & \\ 
 & Cs-123    & 1.000E-99 & \\ 
 & Cs-124    & 1.000E-99 & \\ 
 & Cs-125    & 1.000E-99 & \\ 
 & Cs-126    & 1.000E-99 & \\ 
 & Cs-127    & 1.000E-99 & \\ 
 & Cs-128    & 1.000E-99 & \\ 
 & Cs-129    & 1.000E-99 & \\ 
 & Cs-130    & 1.000E-99 & \\ 
 & Cs-131    & 1.000E-99 & \\ 
 & Cs-132    & 1.000E-99 & \\ 
 & Cs-133    & 1.430E-09 & \\ 
 & Cs-134    & 1.000E-99 & \\ 
 & Cs-135    & 5.445E-12 & \\ 
 & Cs-136    & 1.000E-99 & \\ 
 & Cs-137    & 1.147E-15 & \\ 
 & Cs-138    & 1.000E-99 & \\ 
 & Cs-139    & 1.000E-99 & \\ 
 & Ba-124    & 1.000E-99 & \\ 
 & Ba-125    & 1.000E-99 & \\ 
 & Ba-126    & 1.000E-99 & \\ 
 & Ba-127    & 1.000E-99 & \\ 
 & Ba-128    & 1.000E-99 & \\ 
 & Ba-129    & 1.000E-99 & \\ 
 & Ba-130    & 1.797E-11 & \\ 
 & Ba-131    & 1.000E-99 & \\ 
 & Ba-132    & 1.747E-11 & \\ 
 & Ba-133    & 3.405E-25 & \\ 
 & Ba-134    & 4.665E-10 & \\ 
 & Ba-135    & 1.178E-09 & \\ 
 & Ba-136    & 1.492E-09 & \\ 
 & Ba-137    & 2.080E-09 & \\ 
 & Ba-138    & 1.345E-08 & \\ 
 & Ba-139    & 1.000E-99 & \\ 
 & Ba-140    & 1.000E-99 & \\ 
 & Ba-141    & 1.000E-99 & \\ 
 & Ba-142    & 1.000E-99 & \\ 
 & La-127    & 1.000E-99 & \\ 
 & La-128    & 1.000E-99 & \\ 
 & La-129    & 1.000E-99 & \\ 
 & La-130    & 1.000E-99 & \\ 
 & La-131    & 1.000E-99 & \\ 
 & La-132    & 1.000E-99 & \\ 
 & La-133    & 1.000E-99 & \\ 
 & La-134    & 1.000E-99 & \\ 
 & La-135    & 1.000E-99 & \\ 
 & La-136    & 1.000E-99 & \\ 
 & La-137    & 3.421E-17 & \\ 
 & La-138    & 1.591E-12 & \\ 
 & La-139    & 1.832E-09 & \\ 
 & La-140    & 1.000E-99 & \\ 
 & La-141    & 1.000E-99 & \\ 
 & La-142    & 1.000E-99 & \\ 
 & La-143    & 1.000E-99 & \\ 
